x,y,z,orientation,length,width,height
4000,3000,200,Y,200,200,100
4000,3200,200,Y,200,200,100
4000,3400,200,Y,200,200,100
4000,3600,200,Y,200,200,100
4000,3800,200,Y,200,200,100
4000,4000,200,Y,200,200,100
4000,4200,200,Y,200,100,100
0,0,300,X,200,200,100
200,0,300,X,200,200,100
400,0,300,X,200,200,100
600,0,300,X,200,200,100
800,0,300,X,200,200,100
1000,0,300,X,200,200,100
1200,0,300,X,200,200,100
1400,0,300,X,200,200,100
1600,0,300,X,200,200,100
1800,0,300,X,200,200,100
2000,0,300,X,200,200,100
2200,0,300,X,200,200,100
2400,0,300,X,200,200,100
2600,0,300,X,200,200,100
2800,0,300,X,200,200,100
3000,0,300,X,200,200,100
3200,0,300,X,200,200,100
3400,0,300,X,200,200,100
3600,0,300,X,200,200,100
3800,0,300,X,200,200,100
4000,0,300,X,200,200,100
0,4100,300,X,200,200,100
200,4100,300,X,200,200,100
400,4100,300,X,200,200,100
600,4100,300,X,200,200,100
800,4100,300,X,200,200,100
1000,4100,300,X,200,200,100
1200,4100,300,X,200,200,100
1400,4100,300,X,200,200,100
1600,4100,300,X,200,200,100
1800,4100,300,X,200,200,100
2000,4100,300,X,200,200,100
2200,4100,300,X,200,200,100
2400,4100,300,X,200,200,100
2600,4100,300,X,200,200,100
2800,4100,300,X,200,200,100
3000,4100,300,X,200,200,100
3200,4100,300,X,200,200,100
3400,4100,300,X,200,200,100
3600,4100,300,X,200,200,100
3800,4100,300,X,200,200,100
4000,4100,300,X,200,200,100
0,0,300,Y,200,200,100
0,200,300,Y,200,200,100
0,400,300,Y,200,200,100
0,600,300,Y,200,200,100
0,800,300,Y,200,200,100
0,1000,300,Y,200,200,100
0,1200,300,Y,200,200,100
0,1400,300,Y,200,200,100
0,1600,300,Y,200,200,100
0,1800,300,Y,200,200,100
0,2000,300,Y,200,200,100
0,2200,300,Y,200,200,100
0,2400,300,Y,200,200,100
0,2600,300,Y,200,200,100
0,2800,300,Y,200,200,100
0,3000,300,Y,200,200,100
0,3200,300,Y,200,200,100
0,3400,300,Y,200,200,100
0,3600,300,Y,200,200,100
0,3800,300,Y,200,200,100
0,4000,300,Y,200,200,100
0,4200,300,Y,200,100,100
4000,0,300,Y,200,200,100
4000,200,300,Y,200,200,100
4000,400,300,Y,200,200,100
4000,600,300,Y,200,200,100
4000,800,300,Y,200,200,100
4000,1000,300,Y,200,200,100
4000,1200,300,Y,200,200,100
4000,1400,300,Y,200,200,100
4000,1600,300,Y,200,200,100
4000,1800,300,Y,200,200,100
4000,2000,300,Y,200,200,100
4000,2200,300,Y,200,200,100
4000,2400,300,Y,200,200,100
4000,2600,300,Y,200,200,100
4000,2800,300,Y,200,200,100
4000,3000,300,Y,200,200,100
4000,3200,300,Y,200,200,100
4000,3400,300,Y,200,200,100
4000,3600,300,Y,200,200,100
4000,3800,300,Y,200,200,100
4000,4000,300,Y,200,200,100
4000,4200,300,Y,200,100,100
0,0,400,X,200,200,100
200,0,400,X,200,200,100
400,0,400,X,200,200,100
600,0,400,X,200,200,100
800,0,400,X,200,200,100
1000,0,400,X,200,200,100
1200,0,400,X,200,200,100
1400,0,400,X,200,200,100
1600,0,400,X,200,200,100
1800,0,400,X,200,200,100
2000,0,400,X,200,200,100
2200,0,400,X,200,200,100
2400,0,400,X,200,200,100
2600,0,400,X,200,200,100
2800,0,400,X,200,200,100
3000,0,400,X,200,200,100
3200,0,400,X,200,200,100
3400,0,400,X,200,200,100
3600,0,400,X,200,200,100
3800,0,400,X,200,200,100
4000,0,400,X,200,200,100
0,4100,400,X,200,200,100
200,4100,400,X,200,200,100
400,4100,400,X,200,200,100
600,4100,400,X,200,200,100
800,4100,400,X,200,200,100
1000,4100,400,X,200,200,100
1200,4100,400,X,200,200,100
1400,4100,400,X,200,200,100
1600,4100,400,X,200,200,100
1800,4100,400,X,200,200,100
2000,4100,400,X,200,200,100
2200,4100,400,X,200,200,100
2400,4100,400,X,200,200,100
2600,4100,400,X,200,200,100
2800,4100,400,X,200,200,100
3000,4100,400,X,200,200,100
3200,4100,400,X,200,200,100
3400,4100,400,X,200,200,100
3600,4100,400,X,200,200,100
3800,4100,400,X,200,200,100
4000,4100,400,X,200,200,100
0,0,400,Y,200,200,100
0,200,400,Y,200,200,100
0,400,400,Y,200,200,100
0,600,400,Y,200,200,100
0,800,400,Y,200,200,100
0,1000,400,Y,200,200,100
0,1200,400,Y,200,200,100
0,1400,400,Y,200,200,100
0,1600,400,Y,200,200,100
0,1800,400,Y,200,200,100
0,2000,400,Y,200,200,100
0,2200,400,Y,200,200,100
0,2400,400,Y,200,200,100
0,2600,400,Y,200,200,100
0,2800,400,Y,200,200,100
0,3000,400,Y,200,200,100
0,3200,400,Y,200,200,100
0,3400,400,Y,200,200,100
0,3600,400,Y,200,200,100
0,3800,400,Y,200,200,100
0,4000,400,Y,200,200,100
0,4200,400,Y,200,100,100
4000,0,400,Y,200,200,100
4000,200,400,Y,200,200,100
4000,400,400,Y,200,200,100
4000,600,400,Y,200,200,100
4000,800,400,Y,200,200,100
4000,1000,400,Y,200,200,100
4000,1200,400,Y,200,200,100
4000,1400,400,Y,200,200,100
4000,1600,400,Y,200,200,100
4000,1800,400,Y,200,200,100
4000,2000,400,Y,200,200,100
4000,2200,400,Y,200,200,100
4000,2400,400,Y,200,200,100
4000,2600,400,Y,200,200,100
4000,2800,400,Y,200,200,100
4000,3000,400,Y,200,200,100
4000,3200,400,Y,200,200,100
4000,3400,400,Y,200,200,100
4000,3600,400,Y,200,200,100
4000,3800,400,Y,200,200,100
4000,4000,400,Y,200,200,100
4000,4200,400,Y,200,100,100
0,0,500,X,200,200,100
200,0,500,X,200,200,100
400,0,500,X,200,200,100
600,0,500,X,200,200,100
800,0,500,X,200,200,100
1000,0,500,X,200,200,100
1200,0,500,X,200,200,100
1400,0,500,X,200,200,100
1600,0,500,X,200,200,100
1800,0,500,X,200,200,100
2000,0,500,X,200,200,100
2200,0,500,X,200,200,100
2400,0,500,X,200,200,100
2600,0,500,X,200,200,100
2800,0,500,X,200,200,100
3000,0,500,X,200,200,100
3200,0,500,X,200,200,100
3400,0,500,X,200,200,100
3600,0,500,X,200,200,100
3800,0,500,X,200,200,100
4000,0,500,X,200,200,100
0,4100,500,X,200,200,100
200,4100,500,X,200,200,100
400,4100,500,X,200,200,100
600,4100,500,X,200,200,100
800,4100,500,X,200,200,100
1000,4100,500,X,200,200,100
1200,4100,500,X,200,200,100
1400,4100,500,X,200,200,100
1600,4100,500,X,200,200,100
1800,4100,500,X,200,200,100
2000,4100,500,X,200,200,100
2200,4100,500,X,200,200,100
2400,4100,500,X,200,200,100
2600,4100,500,X,200,200,100
2800,4100,500,X,200,200,100
3000,4100,500,X,200,200,100
3200,4100,500,X,200,200,100
3400,4100,500,X,200,200,100
3600,4100,500,X,200,200,100
3800,4100,500,X,200,200,100
4000,4100,500,X,200,200,100
0,0,500,Y,200,200,100
0,200,500,Y,200,200,100
0,400,500,Y,200,200,100
0,600,500,Y,200,200,100
0,800,500,Y,200,200,100
0,1000,500,Y,200,200,100
0,1200,500,Y,200,200,100
0,1400,500,Y,200,200,100
0,1600,500,Y,200,200,100
0,1800,500,Y,200,200,100
0,2000,500,Y,200,200,100
0,2200,500,Y,200,200,100
0,2400,500,Y,200,200,100
0,2600,500,Y,200,200,100
0,2800,500,Y,200,200,100
0,3000,500,Y,200,200,100
0,3200,500,Y,200,200,100
0,3400,500,Y,200,200,100
0,3600,500,Y,200,200,100
0,3800,500,Y,200,200,100
0,4000,500,Y,200,200,100
0,4200,500,Y,200,100,100
4000,0,500,Y,200,200,100
4000,200,500,Y,200,200,100
4000,400,500,Y,200,200,100
4000,600,500,Y,200,200,100
4000,800,500,Y,200,200,100
4000,1000,500,Y,200,200,100
4000,1200,500,Y,200,200,100
4000,1400,500,Y,200,200,100
4000,1600,500,Y,200,200,100
4000,1800,500,Y,200,200,100
4000,2000,500,Y,200,200,100
4000,2200,500,Y,200,200,100
4000,2400,500,Y,200,200,100
4000,2600,500,Y,200,200,100
4000,2800,500,Y,200,200,100
4000,3000,500,Y,200,200,100
4000,3200,500,Y,200,200,100
4000,3400,500,Y,200,200,100
4000,3600,500,Y,200,200,100
4000,3800,500,Y,200,200,100
4000,4000,500,Y,200,200,100
4000,4200,500,Y,200,100,100
0,0,600,X,200,200,100
200,0,600,X,200,200,100
400,0,600,X,200,200,100
600,0,600,X,200,200,100
800,0,600,X,200,200,100
1000,0,600,X,200,200,100
1200,0,600,X,200,200,100
1400,0,600,X,200,200,100
1600,0,600,X,200,200,100
1800,0,600,X,200,200,100
2000,0,600,X,200,200,100
2200,0,600,X,200,200,100
2400,0,600,X,200,200,100
2600,0,600,X,200,200,100
2800,0,600,X,200,200,100
3000,0,600,X,200,200,100
3200,0,600,X,200,200,100
3400,0,600,X,200,200,100
3600,0,600,X,200,200,100
3800,0,600,X,200,200,100
4000,0,600,X,200,200,100
0,4100,600,X,200,200,100
200,4100,600,X,200,200,100
400,4100,600,X,200,200,100
600,4100,600,X,200,200,100
800,4100,600,X,200,200,100
1000,4100,600,X,200,200,100
1200,4100,600,X,200,200,100
1400,4100,600,X,200,200,100
1600,4100,600,X,200,200,100
1800,4100,600,X,200,200,100
2000,4100,600,X,200,200,100
2200,4100,600,X,200,200,100
2400,4100,600,X,200,200,100
2600,4100,600,X,200,200,100
2800,4100,600,X,200,200,100
3000,4100,600,X,200,200,100
3200,4100,600,X,200,200,100
3400,4100,600,X,200,200,100
3600,4100,600,X,200,200,100
3800,4100,600,X,200,200,100
4000,4100,600,X,200,200,100
0,0,600,Y,200,200,100
0,200,600,Y,200,200,100
