x,y,z,orientation,length,width,height
2600,900,0,XY,200,100,100
2800,900,0,XY,200,100,100
3000,900,0,XY,200,100,100
3200,900,0,XY,200,100,100
3400,900,0,XY,200,100,100
3600,900,0,XY,200,100,100
3800,900,0,XY,200,100,100
4000,900,0,XY,200,100,100
0,1000,0,XY,200,100,100
200,1000,0,XY,200,100,100
400,1000,0,XY,200,100,100
600,1000,0,XY,200,100,100
800,1000,0,XY,200,100,100
1000,1000,0,XY,200,100,100
1200,1000,0,XY,200,100,100
1400,1000,0,XY,200,100,100
1600,1000,0,XY,200,100,100
1800,1000,0,XY,200,100,100
2000,1000,0,XY,200,100,100
2200,1000,0,XY,200,100,100
2400,1000,0,XY,200,100,100
2600,1000,0,XY,200,100,100
2800,1000,0,XY,200,100,100
3000,1000,0,XY,200,100,100
3200,1000,0,XY,200,100,100
3400,1000,0,XY,200,100,100
3600,1000,0,XY,200,100,100
3800,1000,0,XY,200,100,100
4000,1000,0,XY,200,100,100
0,1100,0,XY,200,100,100
200,1100,0,XY,200,100,100
400,1100,0,XY,200,100,100
600,1100,0,XY,200,100,100
800,1100,0,XY,200,100,100
1000,1100,0,XY,200,100,100
1200,1100,0,XY,200,100,100
1400,1100,0,XY,200,100,100
1600,1100,0,XY,200,100,100
1800,1100,0,XY,200,100,100
2000,1100,0,XY,200,100,100
2200,1100,0,XY,200,100,100
2400,1100,0,XY,200,100,100
2600,1100,0,XY,200,100,100
2800,1100,0,XY,200,100,100
3000,1100,0,XY,200,100,100
3200,1100,0,XY,200,100,100
3400,1100,0,XY,200,100,100
3600,1100,0,XY,200,100,100
3800,1100,0,XY,200,100,100
4000,1100,0,XY,200,100,100
0,1200,0,XY,200,100,100
200,1200,0,XY,200,100,100
400,1200,0,XY,200,100,100
600,1200,0,XY,200,100,100
800,1200,0,XY,200,100,100
1000,1200,0,XY,200,100,100
1200,1200,0,XY,200,100,100
1400,1200,0,XY,200,100,100
1600,1200,0,XY,200,100,100
1800,1200,0,XY,200,100,100
2000,1200,0,XY,200,100,100
2200,1200,0,XY,200,100,100
2400,1200,0,XY,200,100,100
2600,1200,0,XY,200,100,100
2800,1200,0,XY,200,100,100
3000,1200,0,XY,200,100,100
3200,1200,0,XY,200,100,100
3400,1200,0,XY,200,100,100
3600,1200,0,XY,200,100,100
3800,1200,0,XY,200,100,100
4000,1200,0,XY,200,100,100
0,1300,0,XY,200,100,100
200,1300,0,XY,200,100,100
400,1300,0,XY,200,100,100
600,1300,0,XY,200,100,100
800,1300,0,XY,200,100,100
1000,1300,0,XY,200,100,100
1200,1300,0,XY,200,100,100
1400,1300,0,XY,200,100,100
1600,1300,0,XY,200,100,100
1800,1300,0,XY,200,100,100
2000,1300,0,XY,200,100,100
2200,1300,0,XY,200,100,100
2400,1300,0,XY,200,100,100
2600,1300,0,XY,200,100,100
2800,1300,0,XY,200,100,100
3000,1300,0,XY,200,100,100
3200,1300,0,XY,200,100,100
3400,1300,0,XY,200,100,100
3600,1300,0,XY,200,100,100
3800,1300,0,XY,200,100,100
4000,1300,0,XY,200,100,100
0,1400,0,XY,200,100,100
200,1400,0,XY,200,100,100
400,1400,0,XY,200,100,100
600,1400,0,XY,200,100,100
